TE_name	ClassI_nLTR_LINE	ClassI_nLTR_SINE	ClassI_nLTR_DIRS	ClassI_nLTR_PLE
ClassI_nLTR_SINE_tRNA_4	2.1907888e-07	0.99999976	3.135085e-11	1.0906313e-09
ClassI_nLTR_SINE_tRNA_5	1.8787303e-07	0.99999976	3.4341856e-11	1.1845014e-09
ClassI_nLTR_SINE_tRNA_6	4.3740926e-07	0.9999994	3.8201535e-09	9.562086e-08
ClassI_nLTR_SINE_tRNA_7	3.8250943e-07	0.99999964	2.1635982e-10	5.4994698e-09
ClassI_nLTR_SINE_tRNA_8	1.6275006e-07	0.9999999	2.3510842e-09	7.0628847e-10
ClassI_nLTR_SINE_tRNA_9	0.00013260519	0.9998499	2.6710863e-06	1.48162835e-05
ClassI_nLTR_SINE_tRNA_10	4.810006e-07	0.99999833	2.7792774e-10	1.1572159e-06
ClassI_nLTR_SINE_tRNA_11	1.1871178e-07	0.9999993	1.6326256e-08	6.043631e-07
ClassI_LTR_Copia_76	0.000751443	0.9968503	3.1890584e-05	0.002366456
ClassI_LTR_Copia_195	0.857301	3.761173e-07	0.051233698	0.09146492
ClassI_LTR_Gypsy_348	0.34928298	0.64924604	0.0009105996	0.00056040473
ClassI_LTR_Gypsy_371	0.10327708	2.9251018e-13	0.89672273	1.6285288e-07
ClassI_LTR_Gypsy_393	0.99990594	6.647314e-10	9.406531e-05	3.644759e-08
ClassI_LTR_Gypsy_439	0.0006495971	0.9992143	2.635632e-05	0.00010969093
ClassI_LTR_Gypsy_476	0.9999428	3.6905545e-11	5.7115863e-05	7.072464e-08
ClassI_LTR_Gypsy_733	0.87915325	7.0895935e-06	0.11177667	0.009062944
ClassI_nLTR_SINE_7SL_950	8.010865e-08	0.9999999	8.0490237e-10	8.251024e-09
ClassI_nLTR_SINE_7SL_951	1.2827762e-06	0.9999987	7.367228e-09	1.1229825e-08
ClassI_nLTR_SINE_7SL_952	1.4248637e-08	1.0	4.6788406e-12	2.4110589e-11
ClassI_nLTR_SINE_7SL_953	1.1807534e-08	1.0	3.9139903e-11	2.7252192e-10
ClassI_nLTR_LINE_L1_954	0.9999976	1.289158e-12	2.4145754e-06	6.267753e-12
ClassI_nLTR_LINE_L1_955	0.9999995	6.1216093e-10	3.808552e-08	4.3274028e-07
ClassI_nLTR_LINE_L1_956	0.99999726	8.958569e-12	2.7511162e-06	1.0868807e-08
ClassI_nLTR_LINE_L1_957	1.0	3.2187355e-20	1.5560293e-14	2.4867798e-21
ClassI_nLTR_LINE_L1_958	0.99998784	8.223481e-12	1.6713519e-06	1.050392e-05
ClassI_nLTR_LINE_L1_959	0.9999999	2.0575523e-12	2.1345068e-08	9.3461274e-08
ClassI_nLTR_LINE_L1_960	0.9999969	1.5630089e-10	8.340398e-07	2.2646334e-06
ClassI_nLTR_LINE_L1_961	0.99999976	5.466736e-13	2.5818088e-07	2.815292e-12
ClassI_nLTR_LINE_L1_962	0.999895	2.2323363e-08	0.00010082534	4.1384374e-06
ClassI_nLTR_LINE_L1_963	1.0	4.0869495e-11	5.367007e-09	6.8867876e-09
ClassI_nLTR_LINE_L1_964	0.9999982	1.6934308e-11	1.7351567e-08	1.8133616e-06
ClassI_nLTR_LINE_L1_965	1.0	1.664343e-14	4.2984723e-11	2.023402e-08
ClassI_nLTR_LINE_L1_966	0.9988279	9.0713534e-09	2.9079993e-05	0.0011430308
ClassI_nLTR_LINE_L1_967	1.0	1.4767588e-13	5.831242e-10	1.812231e-15
ClassI_nLTR_LINE_L1_968	0.99122554	3.5514023e-07	0.00487888	0.0038952003
ClassI_nLTR_LINE_L1_969	0.99999857	5.3275336e-11	6.382928e-07	8.690017e-07
ClassI_nLTR_LINE_L1_970	0.99999213	3.8404573e-09	4.228302e-08	7.8751755e-06
ClassI_nLTR_LINE_L1_971	0.9999559	4.0174807e-08	3.3093984e-06	4.082419e-05
ClassI_nLTR_LINE_L1_972	1.0	6.199441e-15	2.591112e-08	3.9332117e-13
ClassI_nLTR_LINE_L1_973	0.99999845	3.3421646e-13	1.5652312e-06	6.6219746e-13
ClassI_nLTR_LINE_L1_974	0.99994767	1.0298917e-05	5.3553407e-07	4.1648807e-05
ClassI_nLTR_LINE_L1_975	0.9998036	3.7885087e-07	0.00018802716	7.966723e-06
ClassI_nLTR_LINE_L1_976	1.0	9.8746954e-20	1.8171211e-12	1.991445e-10
ClassI_nLTR_LINE_L1_977	0.99999964	3.6537332e-11	1.5708743e-09	3.976407e-07
ClassI_nLTR_LINE_L1_978	1.0	5.389404e-19	2.9529799e-12	9.306221e-21
ClassI_nLTR_LINE_L1_979	0.9999999	5.1258694e-15	6.004623e-08	2.2540246e-15
ClassI_nLTR_LINE_L1_980	1.0	6.2424603e-24	1.5725891e-17	1.5167394e-19
ClassI_nLTR_LINE_L1_981	1.0	2.2429676e-16	2.420071e-11	1.6793367e-10
ClassI_nLTR_LINE_L1_982	0.99999917	3.065521e-11	8.720657e-07	5.543192e-09
ClassI_nLTR_LINE_L1_983	1.0	2.7153246e-10	5.1143907e-09	1.9632669e-08
ClassI_nLTR_LINE_L1_984	0.99999404	2.6591483e-08	3.950589e-06	2.0579764e-06
ClassI_nLTR_LINE_L1_985	1.0	5.8073775e-29	7.545958e-21	1.8398185e-26
ClassI_nLTR_LINE_I_986	0.9999664	2.9117217e-13	3.8531742e-14	3.361538e-05
ClassI_nLTR_LINE_I_987	0.99997973	2.8967726e-08	1.0485473e-06	1.9170206e-05
ClassI_nLTR_LINE_I_988	0.31542957	1.5737949e-06	2.3814955e-06	0.6845665
ClassI_nLTR_LINE_I_989	0.9992907	1.5719067e-08	0.0004964345	0.0002128545
ClassI_nLTR_DIRS_1011	1.6347916e-07	1.3849874e-15	0.9999999	6.4276046e-10
ClassI_nLTR_DIRS_1012	4.629267e-06	7.93084e-12	0.9999852	1.0075931e-05
ClassI_nLTR_DIRS_1013	1.991682e-05	3.5970457e-14	0.9999801	1.8484304e-08
ClassI_nLTR_DIRS_1014	2.408301e-07	1.0031542e-18	0.99999976	1.6007203e-10
ClassI_nLTR_DIRS_1015	7.540367e-07	1.2304834e-17	0.9999993	3.2961435e-13
ClassI_nLTR_DIRS_1016	6.248386e-11	1.0920459e-26	1.0	2.0962978e-16
ClassI_nLTR_DIRS_1017	1.3090774e-07	1.000524e-20	0.9999999	3.6794802e-13
ClassI_nLTR_PLE_1042	1.8774113e-05	1.1275649e-11	2.7621157e-08	0.99998116
ClassI_nLTR_PLE_1043	7.614452e-12	2.4832332e-22	9.0426183e-10	1.0
ClassI_nLTR_PLE_1044	1.808242e-05	2.710852e-13	1.8427588e-12	0.9999819
ClassI_nLTR_PLE_1045	0.00015491422	2.0443079e-10	2.0302068e-06	0.999843
ClassI_nLTR_PLE_1046	2.800413e-06	6.4159108e-15	2.044586e-12	0.99999726
ClassI_nLTR_PLE_1047	5.6167862e-11	8.598429e-25	2.247419e-18	1.0
ClassI_nLTR_PLE_1048	4.0055767e-07	8.1871155e-15	8.407358e-09	0.99999964
ClassI_nLTR_PLE_1049	7.229314e-07	2.715831e-17	6.743944e-15	0.9999993
ClassI_nLTR_PLE_1050	2.8324514e-05	1.0510983e-10	4.9149025e-07	0.99997115
ClassI_nLTR_PLE_1052	5.2525843e-06	7.537761e-10	5.1864706e-08	0.99999464
ClassI_nLTR_PLE_1053	9.354777e-08	3.1093107e-19	4.6566242e-17	0.9999999
ClassI_nLTR_PLE_1054	3.564808e-23	0.0	0.0	1.0
