TE_name	ClassI_LTR	ClassI_nLTR
ClassI_nLTR_SINE_tRNA_4	0.0011866203	0.9988134
ClassI_nLTR_SINE_tRNA_5	2.4845693e-05	0.9999752
ClassI_nLTR_SINE_tRNA_6	0.0282099	0.97179013
ClassI_nLTR_SINE_tRNA_7	0.00019004133	0.99981004
ClassI_nLTR_SINE_tRNA_8	7.3868636e-05	0.9999261
ClassI_nLTR_SINE_tRNA_9	0.01656842	0.9834315
ClassI_nLTR_SINE_tRNA_10	0.0004196729	0.9995803
ClassI_nLTR_SINE_tRNA_11	0.00019322608	0.9998068
ClassI_LTR_Copia_31	0.99998355	1.6406531e-05
ClassI_LTR_Copia_32	1.0	2.8799403e-23
ClassI_LTR_Copia_33	1.0	1.0709228e-09
ClassI_LTR_Copia_34	0.9999999	6.12101e-08
ClassI_LTR_Copia_35	0.9939751	0.0060249413
ClassI_LTR_Copia_36	0.9969319	0.0030680073
ClassI_LTR_Copia_37	0.9990889	0.0009110798
ClassI_LTR_Copia_38	0.99988365	0.000116301315
ClassI_LTR_Copia_39	0.9999925	7.519953e-06
ClassI_LTR_Copia_40	0.99999213	7.892424e-06
ClassI_LTR_Copia_41	0.9999571	4.293258e-05
ClassI_LTR_Copia_42	0.99999917	8.864106e-07
ClassI_LTR_Copia_43	0.99999404	5.9020717e-06
ClassI_LTR_Copia_44	1.0	1.6004349e-16
ClassI_LTR_Copia_45	1.0	5.023754e-23
ClassI_LTR_Copia_46	1.0	3.573514e-20
ClassI_LTR_Copia_47	0.9671202	0.032879792
ClassI_LTR_Copia_48	1.0	6.4627304e-09
ClassI_LTR_Copia_49	1.0	3.2934351e-18
ClassI_LTR_Copia_50	0.99846447	0.0015355415
ClassI_LTR_Copia_51	1.0	2.9583847e-13
ClassI_LTR_Copia_52	1.0	1.0177478e-25
ClassI_LTR_Copia_53	1.0	1.3481877e-19
ClassI_LTR_Copia_54	1.0	2.60932e-18
ClassI_LTR_Copia_55	1.0	6.171949e-23
ClassI_LTR_Copia_56	0.99996686	3.3084267e-05
ClassI_LTR_Copia_57	0.99999857	1.4148388e-06
ClassI_LTR_Copia_59	0.9946702	0.005329836
ClassI_LTR_Copia_60	0.9999691	3.0834173e-05
ClassI_LTR_Copia_61	1.0	1.1176757e-16
ClassI_LTR_Copia_62	0.9999968	3.1974237e-06
ClassI_LTR_Copia_63	1.0	6.910239e-19
ClassI_LTR_Copia_64	1.0	2.5312502e-14
ClassI_LTR_Copia_65	1.0	3.820507e-12
ClassI_LTR_Copia_66	1.0	3.1949195e-19
ClassI_LTR_Copia_68	1.0	4.2234117e-15
ClassI_LTR_Copia_69	0.79432493	0.20567513
ClassI_LTR_Copia_70	0.98577267	0.014227354
ClassI_LTR_Copia_71	1.0	2.2636312e-16
ClassI_LTR_Copia_72	0.99999917	7.9885706e-07
ClassI_LTR_Copia_73	0.9998766	0.00012336599
ClassI_LTR_Copia_74	0.9444444	0.055555634
ClassI_LTR_Copia_75	1.0	1.2920036e-13
ClassI_LTR_Copia_76	0.11339643	0.8866036
ClassI_LTR_Copia_78	0.99854964	0.0014502881
ClassI_LTR_Copia_79	0.99983716	0.00016278979
ClassI_LTR_Copia_80	1.0	1.8705969e-25
ClassI_LTR_Copia_81	0.9999951	4.8433467e-06
ClassI_LTR_Copia_82	0.9993217	0.00067827804
ClassI_LTR_Copia_83	0.9997435	0.0002565259
ClassI_LTR_Copia_84	0.99999774	2.3001314e-06
ClassI_LTR_Copia_85	1.0	1.4168971e-14
ClassI_LTR_Copia_86	1.0	8.060469e-14
ClassI_LTR_Copia_87	1.0	6.155167e-10
ClassI_LTR_Copia_88	1.0	7.3506715e-25
ClassI_LTR_Copia_89	1.0	2.0103177e-28
ClassI_LTR_Copia_90	0.9999933	6.6706434e-06
ClassI_LTR_Copia_91	1.0	6.591764e-25
ClassI_LTR_Copia_92	1.0	3.4385512e-15
ClassI_LTR_Copia_93	1.0	8.712201e-26
ClassI_LTR_Copia_94	1.0	2.6214632e-17
ClassI_LTR_Copia_95	0.9999951	4.873036e-06
ClassI_LTR_Copia_96	0.9999622	3.775594e-05
ClassI_LTR_Copia_97	1.0	1.5131872e-24
ClassI_LTR_Copia_98	1.0	5.117478e-19
ClassI_LTR_Copia_99	0.99999607	3.93267e-06
ClassI_LTR_Copia_100	0.99999344	6.5048807e-06
ClassI_LTR_Copia_102	1.0	4.9676845e-17
ClassI_LTR_Copia_103	1.0	3.6491744e-25
ClassI_LTR_Copia_104	0.99995553	4.4468237e-05
ClassI_LTR_Copia_105	1.0	4.216484e-25
ClassI_LTR_Copia_106	0.99994504	5.4958517e-05
ClassI_LTR_Copia_107	1.0	1.2628014e-17
ClassI_LTR_Copia_108	0.9959001	0.0040998803
ClassI_LTR_Copia_109	0.99996555	3.4421806e-05
ClassI_LTR_Copia_110	1.0	1.3673753e-11
ClassI_LTR_Copia_111	1.0	5.480427e-08
ClassI_LTR_Copia_113	0.9999957	4.318994e-06
ClassI_LTR_Copia_114	0.99973696	0.00026307048
ClassI_LTR_Copia_115	0.99996686	3.3119686e-05
ClassI_LTR_Copia_116	0.99988616	0.000113882255
ClassI_LTR_Copia_117	0.99999917	7.79491e-07
ClassI_LTR_Copia_118	1.0	6.3930057e-17
ClassI_LTR_Copia_119	1.0	1.155083e-16
ClassI_LTR_Copia_120	1.0	2.5889617e-09
ClassI_LTR_Copia_121	0.99999917	8.358564e-07
ClassI_LTR_Copia_122	0.9999913	8.688004e-06
ClassI_LTR_Copia_123	1.0	2.9386583e-23
ClassI_LTR_Copia_124	1.0	1.1434445e-29
ClassI_LTR_Copia_125	0.9999999	7.981338e-08
ClassI_LTR_Copia_126	0.99999964	3.7253565e-07
ClassI_LTR_Copia_127	1.0	1.4751534e-14
ClassI_LTR_Copia_128	1.0	0.0
ClassI_LTR_Copia_129	0.9997212	0.00027876487
ClassI_LTR_Copia_130	0.9999851	1.4927345e-05
ClassI_LTR_Copia_131	1.0	4.5574955e-15
ClassI_LTR_Copia_132	1.0	1.2407112e-19
ClassI_LTR_Copia_133	1.0	7.249794e-21
ClassI_LTR_Copia_134	1.0	5.0894915e-08
ClassI_LTR_Copia_135	1.0	3.3339063e-09
ClassI_LTR_Copia_136	0.9987245	0.0012754974
ClassI_LTR_Copia_137	1.0	7.006039e-17
ClassI_LTR_Copia_138	1.0	1.690691e-18
ClassI_LTR_Copia_139	1.0	2.0832129e-19
ClassI_LTR_Copia_140	1.0	5.4345348e-11
ClassI_LTR_Copia_141	0.9999995	4.2082615e-07
ClassI_LTR_Copia_143	1.0	1.3946945e-16
ClassI_LTR_Copia_144	0.94744587	0.052554097
ClassI_LTR_Copia_146	1.0	6.9753005e-22
ClassI_LTR_Copia_147	1.0	3.7908576e-22
ClassI_LTR_Copia_148	0.99986446	0.00013547065
ClassI_LTR_Copia_150	1.0	9.23955e-27
ClassI_LTR_Copia_151	1.0	1.7043379e-22
ClassI_LTR_Copia_152	0.99852294	0.0014770741
ClassI_LTR_Copia_153	1.0	4.1827104e-08
ClassI_LTR_Copia_154	0.999982	1.7997794e-05
ClassI_LTR_Copia_156	1.0	1.04116306e-19
ClassI_LTR_Copia_158	0.9999993	7.2095617e-07
ClassI_LTR_Copia_159	1.0	1.877515e-12
ClassI_LTR_Copia_160	1.0	4.522002e-19
ClassI_LTR_Copia_161	1.0	8.20169e-10
ClassI_LTR_Copia_162	0.9998908	0.00010914162
ClassI_LTR_Copia_163	1.0	3.7841366e-12
ClassI_LTR_Copia_164	0.9999007	9.930925e-05
ClassI_LTR_Copia_165	0.99999547	4.5362613e-06
ClassI_LTR_Copia_166	1.0	4.4375454e-29
ClassI_LTR_Copia_167	1.0	3.1591175e-20
ClassI_LTR_Copia_169	0.9999999	1.0029035e-07
ClassI_LTR_Copia_170	1.0	5.309743e-09
ClassI_LTR_Copia_171	0.99825555	0.0017444745
ClassI_LTR_Copia_172	1.0	7.9504715e-14
ClassI_LTR_Copia_173	0.9999573	4.265101e-05
ClassI_LTR_Copia_174	0.999998	2.0389646e-06
ClassI_LTR_Copia_175	0.9873356	0.012664347
ClassI_LTR_Copia_176	0.5674762	0.43252373
ClassI_LTR_Copia_177	0.72437793	0.27562204
ClassI_LTR_Copia_178	1.0	2.0184682e-23
ClassI_LTR_Copia_179	1.0	1.8252619e-21
ClassI_LTR_Copia_180	1.0	1.1910805e-17
ClassI_LTR_Copia_181	0.9925991	0.007400835
ClassI_LTR_Copia_182	1.0	5.165161e-32
ClassI_LTR_Copia_183	1.0	1.8097021e-23
ClassI_LTR_Copia_184	0.9998872	0.00011273597
ClassI_LTR_Copia_185	0.99815947	0.0018405619
ClassI_LTR_Copia_186	0.9999088	9.11747e-05
ClassI_LTR_Copia_187	0.9997254	0.00027456618
ClassI_LTR_Copia_188	1.0	1.2580477e-22
ClassI_LTR_Copia_189	1.0	3.904324e-20
ClassI_LTR_Copia_190	0.9999999	1.0732242e-07
ClassI_LTR_Copia_191	1.0	4.7226876e-18
ClassI_LTR_Copia_192	0.9999449	5.5066528e-05
ClassI_LTR_Copia_193	1.0	5.843395e-23
ClassI_LTR_Copia_194	1.0	9.4446e-19
ClassI_LTR_Copia_195	0.4692023	0.5307977
ClassI_LTR_Copia_196	1.0	1.3590637e-17
ClassI_LTR_Copia_197	0.99507046	0.0049296166
ClassI_LTR_Copia_198	0.9974215	0.0025785633
ClassI_LTR_Copia_199	0.9997675	0.00023258149
ClassI_LTR_Copia_200	0.9830194	0.016980605
ClassI_LTR_Copia_201	1.0	1.1775352e-19
ClassI_LTR_Copia_202	1.0	1.5624522e-19
