ClassII_DNA_P_3	f3:TR,TR
ClassIII_Helitron_15	f2:EN
ClassI_LTR_Copia_31	f1:RT,IN,GAG
ClassI_LTR_Copia_32	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_33	f2:RT,IN,GAG
ClassI_LTR_Copia_34	f2:RT,IN,GAG,GAG
ClassI_LTR_Copia_35	f3:IN
ClassI_LTR_Copia_37	f3:RT,IN,GAG,GAG
ClassI_LTR_Copia_39	f1:RT;f3:IN,GAG,GAG,GAG
ClassI_LTR_Copia_41	f1:RT,GAG;f2:GAG;f3:RT,IN,RT
ClassI_LTR_Copia_42	f1:RT;f3:GAG,IN
ClassI_LTR_Copia_43	f2:RT,GAG,IN,GAG,GAG
ClassI_LTR_Copia_44	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_45	f3:RT,IN,GAG
ClassI_LTR_Copia_46	f1:RT,GAG,IN,GAG
ClassI_LTR_Copia_47	f2:RT
ClassI_LTR_Copia_49	f3:RT,GAG,IN,GAG
ClassI_LTR_Copia_51	f2:GAG;f3:RT,IN
ClassI_LTR_Copia_52	f2:IN;f3:RT,GAG
ClassI_LTR_Copia_53	f1:RT,GAG,IN,GAG
ClassI_LTR_Copia_54	f2:RT;f3:RT,GAG,IN
ClassI_LTR_Copia_55	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_59	f1:IN,GAG,GAG,GAG;f2:RT;f3:RT
ClassI_LTR_Copia_60	f1:RT;f2:RT;f3:IN,GAG
ClassI_LTR_Copia_61	f1:RT,IN,GAG,GAG,GAG
ClassI_LTR_Copia_62	f3:RT
ClassI_LTR_Copia_63	f1:RT,IN,GAG
ClassI_LTR_Copia_64	f1:GAG;f2:RT,IN
ClassI_LTR_Copia_65	f3:RT
ClassI_LTR_Copia_66	f1:RT,IN,GAG;f2:GAG
ClassI_LTR_Copia_68	f1:RT,IN,GAG
ClassI_LTR_Copia_70	f1:RT,IN,GAG
ClassI_LTR_Copia_71	f1:RT,IN,GAG;f3:GAG
ClassI_LTR_Copia_73	f2:RT,IN,GAG
ClassI_LTR_Copia_74	f2:RT,GAG,IN
ClassI_LTR_Copia_75	f2:RT,IN,GAG,GAG
ClassI_LTR_Copia_77	f2:GAG;f3:RT,IN,RT
ClassI_LTR_Copia_78	f2:RT,IN;f3:GAG
ClassI_LTR_Copia_79	f3:RT,GAG,IN,GAG,GAG
ClassI_LTR_Copia_80	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_83	f2:RT,GAG,IN,GAG,GAG
ClassI_LTR_Copia_84	f1:RT,IN
ClassI_LTR_Copia_85	f1:GAG,RT;f2:IN;f3:RT
ClassI_LTR_Copia_86	f2:RT,GAG,IN
ClassI_LTR_Copia_87	f1:IN;f2:RT,GAG,GAG;f3:IN
ClassI_LTR_Copia_88	f3:RT,IN,GAG
ClassI_LTR_Copia_89	f1:RT,IN;f3:GAG
ClassI_LTR_Copia_90	f1:RT,GAG,IN,GAG,GAG
ClassI_LTR_Copia_91	f1:RT,IN;f2:GAG
ClassI_LTR_Copia_92	f3:RT,GAG,IN
ClassI_LTR_Copia_93	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_94	f2:RT,GAG,IN,GAG,GAG
ClassI_LTR_Copia_97	f1:GAG;f2:RT,IN
ClassI_LTR_Copia_98	f1:GAG;f2:RT,IN
ClassI_LTR_Copia_99	f2:RT,GAG,IN,RT,GAG
ClassI_LTR_Copia_100	f1:GAG;f3:RT,IN,RH
ClassI_LTR_Copia_102	f1:GAG
ClassI_LTR_Copia_103	f1:GAG;f3:RT,IN
ClassI_LTR_Copia_104	f3:RT,IN
ClassI_LTR_Copia_105	f1:RT,IN;f2:GAG
